emotion,count
Fear,55.625
Sadness,15.46875
Surprise,6.71875
Happiness,5.0
Disgust,2.8125
Neutral,1.5625
13.33%,0.78125
33.33%,0.78125
53.33%,0.78125
0.21%,0.3125
28.66%,0.15625
10.98%,0.15625
58.54%,0.15625
0.61%,0.15625
1.22%,0.15625
5.14%,0.15625
20.37%,0.15625
70.37%,0.15625
3.70%,0.15625
20.08%,0.15625
5.07%,0.15625
69.37%,0.15625
3.65%,0.15625
1.62%,0.15625
0.20%,0.15625
19.72%,0.15625
4.98%,0.15625
68.13%,0.15625
3.59%,0.15625
1.59%,0.15625
1.99%,0.15625
19.41%,0.15625
4.90%,0.15625
68.63%,0.15625
3.53%,0.15625
1.57%,0.15625
1.96%,0.15625
19.15%,0.15625
6.19%,0.15625
67.70%,0.15625
3.48%,0.15625
1.55%,0.15625
1.93%,0.15625
18.93%,0.15625
6.12%,0.15625
66.92%,0.15625
3.44%,0.15625
2.68%,0.15625
1.91%,0.15625
18.71%,0.15625
6.05%,0.15625
67.30%,0.15625
3.40%,0.15625
2.65%,0.15625
1.89%,0.15625
17.74%,0.15625
5.73%,0.15625
63.80%,0.15625
3.23%,0.15625
7.71%,0.15625
1.79%,0.15625
